gazette,gazette_date,status,tariff_classification,tco_reference,operative_date,decision_date,applicant,stated_use,reason,description
tc-26-01,14 January 2026,application,3920.43.00,25293075,17.12.25,,PORTA PRODUCTS PTY LTD 5%,For profile wrapping of aluminium extrusions and medium density fibreboard substrates,,"POLYVINYL CHLORIDE FOIL, plasticised, printed, having thickness 50 NOT greater than 0.20 mm +/- 10%"
tc-26-01,14 January 2026,application,3926.90.90,25276468,25.11.25,,SANTOS NA BAROSSA PTY LTD 5%,Wound around the outside of a pipe to suppress vortex induced vibrations in subsea pipelines and risers,,"VANES, PERPENDICULAR INTERMITTENT WINDING, plastic 50"
tc-26-01,14 January 2026,application,6914.90.00,25273589,21.11.25,,COSENTINO AUSTRALIA PTY LTD 5%,Making bench tops and wall cladding,,"SLABS, ceramic, having ALL of the following: 50 (a) length NOT greater than 3 500 mm; (b) width NOT greater than 2 100 mm; (c) thickness NOT less than 4 mm and NOT greater than 40 mm"
tc-26-01,14 January 2026,application,7308.90.00,25286584,09.12.25,,BLUESCOPE STEEL (AIS) PTY LTD 5%,Parts for a furnace stack used to vent all combustion waste gas from the furnace,,"PARTS, FURNACE STACK, with OR without mounting brackets AND/OR 50 fastenings, being ANY of the following: (a) structural shell OR exterior shell OR outer casing; (b) inner shell OR interior shell OR liner; (c) frames; (d) plates; (e) flanges; (f) monorails; (g) stairs AND/OR ladders; (h) platforms AND/OR landings"
tc-26-01,14 January 2026,application,7326.90.90,25280557,02.12.25,,QGC PTY LTD 5%,Tools enabling selective stimulation of zones in wellbores,,"SLEEVES, WELLBORE STIMULATION, steel body 50"
tc-26-01,14 January 2026,application,7326.90.90,25282578,04.12.25,,SCHLUMBERGER AUSTRALIA PTY LTD 5%,For maintaining controlled height and alignment of toolstring prior to wellbore deployment,,"PARTS, TOOLSTRING ASSEMBLY, oil and gas drill rig, being EITHER 50 of the following: (a) plates; (b) vertical lift blocks"
tc-26-01,14 January 2026,application,8402.19.00,25290827,15.12.25,,YARA PILBARA NITRATES PTY LTD 5%,For the generation of steam using recovered heat from nitric- acid process gas,,"STEAM GENERATORS, RECOVERY REBOILER, including ALL of the 50 following: (a) length NOT less than 4 000 mm; (b) carbon manganese steel shell; (c) channels; (d) tubes; (e) nozzles"
tc-26-01,14 January 2026,application,8412.90.90,25273224,21.11.25,,HITACHI CONSTRUCTION MACHINERY OCEANIA HOLDINGS PTY LTD 5%,Repair kit for the joist cylinder used in off road dump trucks,,"PARTS, HYDRAULIC LINEAR CYLINDER, being repair kits, including 50 ALL of the following: (a) flange; (b) seal kit; (c) retaining rings"
tc-26-01,14 January 2026,application,8412.90.90,25297777,23.12.25,,HITACHI CONSTRUCTION MACHINERY OCEANIA HOLDINGS PTY LTD,A repair kit for the boom cylinder used in excavators,,"PARTS, HYDRAULIC LINEAR CYLINDER, being repair kits, including 50 ALL of the following: (a) air breathers; (b) bushing; (c) seal kit; (d) o-rings; (e) back-up rings; (f) retaining ring; (g) screw"
tc-26-01,14 January 2026,application,8413.70.90,25294319,18.12.25,,SACYR SSWA PTY LTD & SACYR WATER AUSTRALIA PTY LTD 5%,"To generate high pressure feed water flow for reverse osmosis desalination systems, used in seawater reverse osmosis plants",,"PUMPS, CENTRIFUGAL, having ALL of the following: 50 (a) super duplex stainless steel casing, shaft AND impeller; (b) operating speed NOT greater than 2 990 rpm; (c) flow rate NOT greater than 1 006 m3/h; (d) discharge pressure NOT greater than 6 000 kPa"
tc-26-01,14 January 2026,application,8414.59.90,25280771,02.12.25,,CLOUGH PROJECTS AUSTRALIA PTY LTD & SAIPEM AUSTRALIA PTY LTD 5%,For desalination and demineralisation in manufacturing processes,,"BLOWERS, skid mounted, having ALL of the following: 50 (a) working capacity NOT greater than 270 m³/h; (b) inlet pressure NOT greater than 1 013 mbar; (c) outlet pressure NOT greater than 400 mbar; (d) motor output NOT greater than 7.5 kW; (e) motor speed NOT greater than 2 950 rpm"
tc-26-01,14 January 2026,application,8419.50.90,25276571,26.11.25,,HDI SYD1 PROPERTY HOLDINGS PTY LTD 5%,Control air circulation in factories and warehouses,,"FANS, WALL UNIT, having ALL of the following: 50 (a) chilled water flow rate NOT greater than 11.0 litres/sec; (b) unit airflow NOT greater than 125 000 m3/hr; (c) supply air temperature NOT greater than 26 degrees Celsius"
tc-26-01,14 January 2026,application,8421.21.90,25285175,08.12.25,,MCCAIN FOODS (AUST) PTY LTD 5%,To recover starch from wastewater and filters or purify water in food processing industry plants,,"STARCH RECOVERY STATIONS, programmable logic controlled, 50 including ALL of following: (a) refining sieve; (b) hydro-cyclone unit cyclone; (c) rotating vacuum filter; with OR without ANY of the following; (i) conveyor; (ii) pump; (iii) overflow buffer tank; (iv) electrical cabinet"
